text,label,prob,pred
jalak4d gasskeun gacornya jalak4d gasskeun gacornya,1,0.0024765152,0
yuk mulai tualang seru sini jeeptt yuk mulai petualangan serumu di sini di 8 8 a p,1,0.225227,0
tpi klo sya mh maen slot ga prnah ngarepin mnang karna cuma iseng2 aja ngobatin rasa cape stres anggap aja jajan maen ps kya waktu kcil sya mh klo depo jga pling gede 10 rbu doang tpi klo sya mh maen slot ga prnah ngarepin mnang karna cuma untuk iseng2 aja ngobatin rasa cape dan stres anggap aja jajan maen ps kya waktu kcil toh sya mh klo depo jga pling gede 10 rbu doang,1,0.020979572,0
jujur awal ga percaya karna iklan garudahoki pas coba malah kasih scter terus terus gila sihh jujur awalnya ga percaya karna iklan ga a ki pas di coba malah di kasih scter terus menerus gila sihh,1,0.71549934,0
oooooo arwanat toooooo suruh mandi ahhahahah o o o e2 o o o o suruh dia mandi ahhahahah,1,0.27681032,0
peluang besar crown138 tawar freebet 200k peluang besar crown138 tawarkan freebet 200k,1,0.014903674,0
rtp naik kalo yg dpt jackpot kalo player ludes duit nya rtp nya akan merah alias kecil rtp itu akan naik kalo ada yg dpt jackpot kalo player pada ludes duit nya maka rtp nya akan merah alias kecil,1,0.0056203953,0
nyata bukan keren juga sehat sporty garudahoki ternyata bukan hanya keren tapi juga sehat dan sporty ga a kid m,1,0.37389034,0
coba aja dulu pstoto99 siapa tahu untung di pihak coba aja dulu di siapa tahu keberuntungan lagi di pihakmu,1,0.75816315,0
yuk kumpul main rame rame jeeptt yuk kumpul dan main rame rame di 8 8 8 7,1,0.026396623,0
jangan percaya kerja pagi pulang pagi bikin km kaya mending depo biar maxwin depo mejanjikan kalian kaya jangan percaya kerja pagi pulang pagi bikin km kaya mending depo biar maxwin karena depo mejanjikan kalian kekayaan,1,0.029143076,0
coba cek status aplikasi slot intan 777 apa benar tipu coba cek status aplikasi slot intan 777 apa benar atau penipuan,1,0.017570099,0
nyata abu keren juga sehat sporty garudahoki ternyata abukan hanya keren tapi juga sehat dan sporty ga a kidm,1,0.07310227,0
0,1,0.022844495,0
visi4d kamu emang the best main bikin tagih cerita relate visual top euud kamu emang the best setiap main bikin ketagihan ceritanya relate visualnya top,1,0.46448085,0
untung di sor76 lain bingung gimana cara menang kasi keberuntungan ada di aaoo yang lain masih bingung gimana cara menang kasian,1,0.14151461,0
main sekarang menang kemudian jeeptoo main sekarang 7 menang kemudian di iaoa4ofa,1,0.20056596,0
waktu senang langsung gabung jeeptt waktunya bersenang senang langsung gabung di 88ia o,1,0.13456145,0
pulau777 platform pilih menang p u l a u 7 7 7 platform pilihan para pemenang,1,0.1056938,0
berkat probet855 ubah bantu rumah jadi milik cleaning service berkat aaaoconn saya berubah dari pembantu rumah jadi pemilik cleaning service c,1,0.56806326,0
situs nya bodong alias abal abal punya bukti nya deposit menang mau wd live chat mlh tutup obrol keluar mau masuk lg malah dibaned akun tipu situsnya nya bodong alias abal abal saya punya bukti nya deposit kemenangan mau wd live chat mlh ditutup obrolan terkeluar mau masuk lg malah dibaned akun saya penipu,1,0.22519316,0
k ing6 41 aja,1,0.41499102,0
tahun 2022 bulan 1011 pernah dagang durian montongbangkok kalteng lebih tepat nya waktu pangkal bun daerah bundar pancasila jadi waktu 3 bocil smp beli dagang makan tempat beli bilang cukup banyak buat umur bocil sebut 3bocil beli 2 buah durian total berat hampir 8 kilo pokok fyi biasa durian montong jual nya kilo jrg ada yg jual buah waktu jual harga 85 000rb kilo iseng lah tanya pasar anak kecil kok banyak banget pegang uang banyak banget dek uang mu bpkmu kaya 2 org temen yg di bayarin makan nyeletuk ngomong habis di kasih jp om sama kakek dalem hati saya antara lucu yang paling besar aja sedih tahun 2022 sekitar bulan 10 11 saya pernah dagang durian montong bangkok di kalteng lebih tepat nya waktu itu di pangkalan bun di daerah sekitar bundaran pancasila jadi waktu itu ada 3 bocil smp beli dagangan saya makan di tempat belinya bisa di bilang cukup banyak buat seumuran bocil tersebut mereka 3bocil beli 2 buah durian dengan total berat hampir 8 kilo pokoknya fyi biasanya durian montong itu jual nya perkilo jrg ada yg jual perbuah waktu itu saya jual dengan harga 85 000rb perkilo iseng lah saya tanya karena pemasaran anak sekecil itu kok banyak banget pegang uang banyak banget dek uang mu bpkmu kaya kah 2 org temen yg di bayarin makan ini nyeletuk ngomong itu habis di kasih jp om sama kakek dalem hati saya antara lucu dan yang paling besar tentu aja sedih,1,0.023794957,0
